chr	Start	End	Deletion_Size
2R 	 7065613 	 7065717 	 104
2R	7110483 	 7112961 	 2478
2R	7133267 	 7153507 	 20240
2R	7163662 	 7171517 	 7855
2R 	 7183520 	 7183638 	 118
2R 	 7194043 	 7194107 	 64
2R 	 7200643 	 7200678 	 35
2R 	 7208243 	 7208305 	 62
2R 	 7213684 	 7213760 	 76
2R	7231247 	 7231620 	 373
2R 	 7240342 	 7240434 	 92
2R 	 7241691 	 7241815 	 124
2R	7246547 	 7254989 	 8442
2R 	 7258881 	 7258981 	 100
2R 	 7274283 	 7274399 	 116
2R	7311009 	 7311196 	 187
2R	7317349 	 7318666 	 1317
2R 	 7325331 	 7325453 	 122
2R	7328186 	 7331319 	 3133
2R 	 7341564 	 7341672 	 108
2R	7357086 	 7360065 	 2979
2R	7372393 	 7373139 	 746
2R	7398259 	 7399654 	 1395
2R 	 7423286 	 7423399 	 113
2R 	 7437111 	 7437227 	 116
2R 	 7438614 	 7438676 	 62
2R	7450219 	 7455447 	 5228
2R	7487725 	 7488077 	 352
2R	7509561 	 7515905 	 6344
2R 	 7518348 	 7518452 	 104
2R	7555324 	 7565383 	 10059
2R 	 7571620 	 7571660 	 40
2R 	 7573382 	 7573468 	 86
2R 	 7596211 	 7596325 	 114
2R 	 7611381 	 7611483 	 102
2R	7643059 	 7644180 	 1121
2R 	 7655358 	 7655467 	 109
2R	7686277 	 7689685 	 3408
2R 	 7716974 	 7717073 	 99
2R 	 7728128 	 7728251 	 123
2R	7739143 	 7740232 	 1089
2R	7774495 	 7774624 	 129
2R	7782628 	 7790263 	 7635
2R	7795934 	 7813682 	 17748
2R 	 7817487 	 7817537 	 50
2R 	 7883326 	 7883447 	 121
2R	7893205 	 7893967 	 762
2R	7919829 	 7920004 	 175
2R 	 7930207 	 7930328 	 121
2R	7941416 	 7958784 	 17368
2R	7964001 	 7969548 	 5547
2R 	 7984431 	 7984530 	 99
2R 	 7993168 	 7993285 	 117
2R	8003391 	 8003472 	 81
2R 	 8003841 	 8003960 	 119
2R 	 8006430 	 8006552 	 122
2R 	 8034213 	 8034268 	 55
2R 	 8034347 	 8034418 	 71
2R 	 8061105 	 8061229 	 124
2R	8089097 	 8089742 	 645
2R 	 8103538 	 8103655 	 117
2R 	 8113106 	 8113222 	 116
2R	8134559 	 8135767 	 1208
2R 	 8140504 	 8140597 	 93
2R 	 8155257 	 8155379 	 122
2R 	 8321162 	 8321283 	 121
2R	8327269 	 8334340 	 7071
2R	8340445 	 8356240 	 15795
2R 	 8415454 	 8415565 	 111
2R	8461779 	 8463049 	 1270
2R 	 8475582 	 8475688 	 106
2R 	 8545730 	 8545828 	 98
2R	8619638 	 8623518 	 3880
2R 	 8670728 	 8670832 	 104
2R	8672597 	 8673347 	 750
2R 	 8688484 	 8688584 	 100
2R	8736007 	 8737345 	 1338
2R 	 8743195 	 8743308 	 113
2R 	 8743827 	 8743945 	 118
2R 	 8781335 	 8781444 	 109
2R 	 8783390 	 8783453 	 63
2R	8785453 	 8786198 	 745
2R 	 8792951 	 8793051 	 100
2R 	 8826839 	 8826937 	 98
2R 	 8828653 	 8828751 	 98
2R	8841597 	 8847310 	 5713
2R 	 8885821 	 8885919 	 98
2R	8903279 	 8905420 	 2141
2R	8920200 	 8935839 	 15639
2R	8946588 	 8947725 	 1137
2R 	 8977868 	 8977990 	 122
2R	9005053 	 9007957 	 2904
2R	9009506 	 9009583 	 77
2R	9014161 	 9016188 	 2027
2R 	 9053637 	 9053751 	 114
2R	9062620 	 9063364 	 744
2R	9076493 	 9080208 	 3715
2R 	 9094097 	 9094199 	 102
2R	9096421 	 9115853 	 19432
2R	9162644 	 9162878 	 234
2R 	 9178196 	 9178304 	 108
2R	9201592 	 9202325 	 733
2R	9209125 	 9216829 	 7704
2R	9315658 	 9326736 	 11078
2R	9340948 	 9351096 	 10148
2R	9378361 	 9379781 	 1420
2R 	 9382997 	 9383114 	 117
2R	9421477 	 9425157 	 3680
2R	9427587 	 9432186 	 4599
2R 	 9499310 	 9499421 	 111
2R	9508095 	 9509248 	 1153
2R 	 9512810 	 9512931 	 121
2R	9526613 	 9535790 	 9177
2R 	 9565272 	 9565389 	 117
2R	9567606 	 9570384 	 2778
2R	9586453 	 9590986 	 4533
2R	9626197 	 9626541 	 344
2R	9643146 	 9648264 	 5118
2R 	 9662336 	 9662455 	 119
2R	9672147 	 9674323 	 2176
2R 	 9703500 	 9703585 	 85
2R 	 9703636 	 9703678 	 42
2R	9764186 	 9764248 	 62
2R	9781254 	 9782978 	 1724
2R	9790834 	 9793060 	 2226
2R 	 9812926 	 9813047 	 121
2R 	 9826023 	 9826135 	 112
2R	9850703 	 9851382 	 679
2R 	 9871365 	 9871444 	 79
2R 	 9947309 	 9947423 	 114
2R	9947919 	 9950360 	 2441
2R 	 9959858 	 9959979 	 121
2R	9966332 	 9968446 	 2114
2R 	 9985271 	 9985374 	 103
2R	9986429 	 9991720 	 5291
2R	9993668 	 9995009 	 1341
2R	10037307 	 10038689 	 1382
2R	10064999 	 10065463 	 464
2R 	 10083262 	 10083364 	 102
2R	10088715 	 10089554 	 839
2R	10097534 	 10099881 	 2347
2R	10119267 	 10119808 	 541
2R	10130448 	 10131161 	 713
2R 	 10154571 	 10154695 	 124
2R	10186279 	 10186670 	 391
2R	10207994 	 10214510 	 6516
2R 	 10222771 	 10222875 	 104
2R 	 10237727 	 10237837 	 110
2R	10259231 	 10261743 	 2512
2R 	 10271577 	 10271679 	 102
2R	10335895 	 10347040 	 11145
2R	10354698 	 10354749 	 51
2R	10366855 	 10371386 	 4531
2R	10429781 	 10430460 	 679
2R	10462407 	 10464081 	 1674
2R 	 10471069 	 10471184 	 115
2R	10475741 	 10476932 	 1191
2R 	 10497645 	 10497767 	 122
2R	10537327 	 10543793 	 6466
2R 	 10543793 	 10543864 	 71
2R	10564455 	 10565009 	 554
2R	10568559 	 10568625 	 66
2R	10569381 	 10569474 	 93
2R 	 10578566 	 10578675 	 109
2R	10646536 	 10657864 	 11328
2R 	 10664902 	 10664996 	 94
2R 	 10671258 	 10671382 	 124
2R	10726840 	 10730555 	 3715
2R	10733711 	 10734057 	 346
2R	10747837 	 10748408 	 571
2R	10754619 	 10757513 	 2894
2R	10762648 	 10763240 	 592
2R 	 10777471 	 10777582 	 111
2R 	 10802238 	 10802338 	 100
2R	10829596 	 10831069 	 1473
2R	10852454 	 10857877 	 5423
2R	10870804 	 10871241 	 437
2R 	 10923127 	 10923225 	 98
2R	10925303 	 10929097 	 3794
2R	10935240 	 10935541 	 301
2R 	 10989639 	 10989751 	 112
2R 	 11018568 	 11018600 	 32
2R	11033653 	 11034204 	 551
2R 	 11040403 	 11040525 	 122
2R	11058787 	 11070439 	 11652
2R	11085007 	 11085231 	 224
2R 	 11087858 	 11087977 	 119
2R 	 11091089 	 11091213 	 124
2R	11094170 	 11096325 	 2155
2R	11145163 	 11145939 	 776
2R	11159497 	 11159637 	 140
2R	11163257 	 11167879 	 4622
2R	11174322 	 11176942 	 2620
2R	11201362 	 11201508 	 146
2R	11227958 	 11230072 	 2114
2R 	 11231576 	 11231695 	 119
2R 	 11316807 	 11316920 	 113
2R	11319648 	 11319725 	 77
2R	11357964 	 11369374 	 11410
2R	11387033 	 11409592 	 22559
2R 	 11412087 	 11412147 	 60
2R	11470072 	 11470438 	 366
2R 	 11472685 	 11472744 	 59
2R 	 11478556 	 11478586 	 30
2R 	 11526623 	 11526723 	 100
2R	11547531 	 11547659 	 128
2R 	 11552214 	 11552317 	 103
2R	11557119 	 11558230 	 1111
2R	11562547 	 11565798 	 3251
2R	11631960 	 11632010 	 50
2R	11649381 	 11649812 	 431
2R	11656634 	 11674242 	 17608
2R	11711613 	 11714917 	 3304
2R	11715825 	 11724620 	 8795
2R	11749726 	 11750374 	 648
2R 	 11761136 	 11761258 	 122
2R 	 11777907 	 11778031 	 124
2R	11791522 	 11792723 	 1201
2R 	 11805861 	 11805964 	 103
2R	11808926 	 11809513 	 587
2R 	 11826151 	 11826259 	 108
2R	11846778 	 11848364 	 1586
2R	11858723 	 11869744 	 11021
2R 	 11876097 	 11876195 	 98
2R	11922703 	 11928100 	 5397
2R	11928326 	 11929794 	 1468
2R	12007078 	 12007711 	 633
2R	12021834 	 12023312 	 1478
2R	12035887 	 12038938 	 3051
2R	12059328 	 12060702 	 1374
2R	12090103 	 12094661 	 4558
2R	12110701 	 12110756 	 55
2R	12121086 	 12121175 	 89
2R 	 12138063 	 12138174 	 111
2R	12158428 	 12162627 	 4199
2R	12212890 	 12213197 	 307
2R	12221487 	 12225930 	 4443
2R	12254883 	 12260898 	 6015
2R	12265484 	 12278141 	 12657
2R	12283131 	 12297816 	 14685
2R	12319628 	 12331490 	 11862
2R	12358136 	 12383095 	 24959
2R 	 12392510 	 12392632 	 122
2R	12405095 	 12418776 	 13681
2R	12421097 	 12467401 	 46304
2R	12468306 	 12480182 	 11876
2R	12480986 	 12481055 	 69
2R	12504374 	 12506135 	 1761
2R	12550750 	 12552809 	 2059
2R 	 12555409 	 12555491 	 82
2R 	 12557313 	 12557359 	 46
2R	12561571 	 12562832 	 1261
2R	12572797 	 12576375 	 3578
2R 	 12589828 	 12589942 	 114
2R	12617615 	 12619149 	 1534
2R	12631864 	 12634170 	 2306
2R	12644568 	 12644621 	 53
2R	12670623 	 12670677 	 54
2R	12673687 	 12678812 	 5125
2R 	 12707728 	 12707822 	 94
2R 	 12726193 	 12726317 	 124
2R	12729754 	 12733080 	 3326
2R	12742490 	 12742862 	 372
2R	12751204 	 12752627 	 1423
2R	12762275 	 12762395 	 120
2R	12802739 	 12809387 	 6648
2R 	 12819173 	 12819226 	 53
2R 	 12831379 	 12831498 	 119
2R	12840430 	 12842223 	 1793
2R 	 12874248 	 12874358 	 110
2R	12893398 	 12897576 	 4178
2R	12904064 	 12908442 	 4378
2R	12928298 	 12928359 	 61
2R 	 12930105 	 12930206 	 101
2R	12943024 	 12944381 	 1357
2R	12946973 	 12955315 	 8342
2R	12956006 	 12997432 	 41426
2R	12997757 	 13002743 	 4986
2R 	 13020276 	 13020396 	 120
2R	13037359 	 13040395 	 3036
2R	13046528 	 13046816 	 288
2R 	 13046906 	 13047028 	 122
2R	13059174 	 13059262 	 88
2R	13060221 	 13060276 	 55
2R	13128285 	 13129088 	 803
2R 	 13137993 	 13138102 	 109
2R 	 13152510 	 13152631 	 121
2R	13168323 	 13168537 	 214
2R 	 13185568 	 13185669 	 101
2R	13188705 	 13196597 	 7892
2R	13213341 	 13226464 	 13123
2R	13240721 	 13240814 	 93
2R	13247721 	 13272864 	 25143
2R	13273938 	 13274367 	 429
2R 	 13286009 	 13286112 	 103
2R	13358777 	 13367038 	 8261
2R 	 13409001 	 13409112 	 111
2R 	 13410303 	 13410353 	 50
2R 	 13413763 	 13413839 	 76
2R	13444314 	 13448728 	 4414
2R	13450350 	 13484242 	 33892
2R	13486961 	 13487138 	 177
2R	13539093 	 13549694 	 10601
2R	13551748 	 13555745 	 3997
2R	13557165 	 13557438 	 273
2R	13565382 	 13577094 	 11712
2R	13584738 	 13595382 	 10644
2R	13612373 	 13616275 	 3902
2R 	 13629742 	 13629844 	 102
2R	13645788 	 13647096 	 1308
2R	13647667 	 13649463 	 1796
2R 	 13668064 	 13668188 	 124
2R 	 13691760 	 13691833 	 73
2R 	 13695829 	 13695950 	 121
2R	13698305 	 13700430 	 2125
2R	13718643 	 13719700 	 1057
2R 	 13731338 	 13731459 	 121
2R 	 13758897 	 13759008 	 111
2R	13759378 	 13764038 	 4660
2R 	 13766304 	 13766425 	 121
2R	13821543 	 13822236 	 693
2R	13829728 	 13843536 	 13808
2R	13873644 	 13881301 	 7657
2R 	 13892454 	 13892573 	 119
2R	13897563 	 13899400 	 1837
2R	13914549 	 13921221 	 6672
2R	13932718 	 13932816 	 98
2R	13947360 	 13947737 	 377
2R 	 13965603 	 13965704 	 101
2R	13990264 	 14004415 	 14151
2R 	 14023328 	 14023435 	 107
2R	14065473 	 14065976 	 503
2R	14072399 	 14074254 	 1855
2R 	 14080612 	 14080716 	 104
2R 	 14083774 	 14083877 	 103
2R 	 14097535 	 14097598 	 63
2R 	 14101295 	 14101419 	 124
2R 	 14101425 	 14101511 	 86
2R 	 14105993 	 14106097 	 104
2R 	 14111426 	 14111456 	 30
2R	14160644 	 14161767 	 1123
2R 	 14197536 	 14197656 	 120
2R 	 14241307 	 14241418 	 111
2R	14255508 	 14255976 	 468
2R 	 14281054 	 14281165 	 111
2R	14375038 	 14379078 	 4040
2R	14387810 	 14387986 	 176
2R	14393744 	 14394327 	 583
2R	14429415 	 14432091 	 2676
2R 	 14432637 	 14432737 	 100
2R	14434202 	 14441332 	 7130
2R 	 14520421 	 14520529 	 108
2R	14545766 	 14551564 	 5798
2R	14567077 	 14569504 	 2427
2R	14626173 	 14626248 	 75
2R	14630769 	 14631982 	 1213
2R	14679878 	 14679995 	 117
2R	14711889 	 14731639 	 19750
2R	14751659 	 14769157 	 17498
2R	14811828 	 14826109 	 14281
2R 	 14826328 	 14826449 	 121
2R	14846336 	 14849214 	 2878
2R 	 14865298 	 14865420 	 122
2R 	 14870619 	 14870736 	 117
2R 	 14876415 	 14876484 	 69
2R 	 14911121 	 14911163 	 42
2R	14940392 	 14941217 	 825
2R	14947848 	 14948320 	 472
2R 	 14989311 	 14989416 	 105
2R 	 15008980 	 15009071 	 91
2R 	 15010508 	 15010543 	 35
2R	15011455 	 15015014 	 3559
2R 	 15018585 	 15018651 	 66
2R 	 15032381 	 15032497 	 116
2R	15035774 	 15035979 	 205
2R 	 15111188 	 15111308 	 120
2R 	 15120272 	 15120394 	 122
2R 	 15127453 	 15127534 	 81
2R 	 15138606 	 15138717 	 111
2R 	 15161733 	 15161852 	 119
2R 	 15162599 	 15162701 	 102
2R	15212337 	 15212400 	 63
2R 	 15227793 	 15227907 	 114
2R	15257801 	 15259763 	 1962
2R	15278573 	 15279241 	 668
2R	15300945 	 15301734 	 789
2R	15304780 	 15329951 	 25171
2R 	 15332460 	 15332551 	 91
2R 	 15344123 	 15344174 	 51
2R 	 15347215 	 15347338 	 123
2R 	 15354731 	 15354827 	 96
2R	15357282 	 15377931 	 20649
2R	15381303 	 15381388 	 85
2R	15386972 	 15387117 	 145
2R	15424778 	 15426035 	 1257
2R 	 15427331 	 15427432 	 101
2R 	 15453555 	 15453676 	 121
2R 	 15461679 	 15461790 	 111
2R	15496692 	 15499591 	 2899
2R 	 15507595 	 15507708 	 113
2R	15511187 	 15513311 	 2124
2R	15529261 	 15534874 	 5613
2R 	 15547616 	 15547721 	 105
2R 	 15556171 	 15556295 	 124
2R	15559918 	 15573313 	 13395
2R	15573596 	 15575596 	 2000
2R	15587473 	 15589936 	 2463
2R	15590464 	 15598775 	 8311
2R 	 15614084 	 15614189 	 105
2R	15645451 	 15652528 	 7077
2R	15660789 	 15662743 	 1954
2R	15675532 	 15676423 	 891
2R 	 15686869 	 15686978 	 109
2R	15709338 	 15711185 	 1847
2R	15715215 	 15725756 	 10541
2R	15728884 	 15743011 	 14127
2R	15755696 	 15755979 	 283
2R	15775293 	 15785355 	 10062
2R	15792746 	 15793697 	 951
2R 	 15814698 	 15814806 	 108
2R 	 15829316 	 15829421 	 105
2R	15834167 	 15840508 	 6341
2R	15859086 	 15859206 	 120
2R 	 15877262 	 15877371 	 109
2R	15883552 	 15891621 	 8069
2R	15907297 	 15908361 	 1064
2R 	 15924437 	 15924537 	 100
2R	15927628 	 15940616 	 12988
2R 	 15972615 	 15972717 	 102
2R 	 15972996 	 15973107 	 111
2R	15985268 	 15989273 	 4005
2R 	 16083370 	 16083487 	 117
2R	16087235 	 16088043 	 808
2R 	 16114940 	 16115058 	 118
2R 	 16119867 	 16119981 	 114
2R 	 16136556 	 16136658 	 102
2R 	 16141234 	 16141356 	 122
2R 	 16143396 	 16143521 	 125
2R	16154803 	 16156101 	 1298
2R	16160858 	 16178432 	 17574
2R	16183736 	 16183972 	 236
2R	16191573 	 16192014 	 441
2R 	 16203708 	 16203829 	 121
2R	16217321 	 16227086 	 9765
2R	16231770 	 16232466 	 696
2R 	 16242485 	 16242582 	 97
2R 	 16255883 	 16256001 	 118
2R 	 16260510 	 16260614 	 104
2R 	 16264382 	 16264498 	 116
2R	16276972 	 16283576 	 6604
2R	16313771 	 16316171 	 2400
2R	16324881 	 16329609 	 4728
2R	16353381 	 16354970 	 1589
2R 	 16370896 	 16370995 	 99
2R 	 16373067 	 16373188 	 121
2R	16389942 	 16390748 	 806
2R	16404955 	 16407279 	 2324
2R	16414258 	 16417317 	 3059
2R	16424007 	 16424765 	 758
2R 	 16446287 	 16446391 	 104
2R	16454399 	 16455463 	 1064
2R	16479201 	 16479304 	 103
2R 	 16540408 	 16540474 	 66
2R	16578388 	 16578974 	 586
2R 	 16613114 	 16613239 	 125
2R 	 16621939 	 16622048 	 109
2R 	 16631930 	 16632049 	 119
2R	16638206 	 16651115 	 12909
2R	16654842 	 16660738 	 5896
2R	16687840 	 16688039 	 199
2R	16710826 	 16711103 	 277
2R	16721439 	 16724697 	 3258
2R	16732404 	 16732757 	 353
2R 	 16733481 	 16733597 	 116
2R	16745000 	 16758959 	 13959
2R	16764639 	 16769450 	 4811
2R	16778543 	 16779180 	 637
2R 	 16811648 	 16811770 	 122
2R	16848053 	 16851056 	 3003
2R 	 16852826 	 16852930 	 104
2R	16863241 	 16863299 	 58
2R	16946876 	 16947199 	 323
2R	16965487 	 16966390 	 903
2R	16976381 	 16977867 	 1486
2R	16999892 	 17001057 	 1165
2R	17006345 	 17016261 	 9916
2R	17020114 	 17023191 	 3077
2R 	 17025605 	 17025703 	 98
2R	17095861 	 17104857 	 8996
2R 	 17115240 	 17115349 	 109
2R 	 17137139 	 17137237 	 98
2R	17138268 	 17139341 	 1073
2R	17156678 	 17163004 	 6326
2R 	 17164353 	 17164443 	 90
2R	17202420 	 17203098 	 678
2R	17210620 	 17218626 	 8006
2R 	 17238529 	 17238648 	 119
2R 	 17277529 	 17277592 	 63
2R	17278627 	 17279861 	 1234
2R 	 17324181 	 17324294 	 113
2R	17325462 	 17325768 	 306
2R	17338274 	 17339898 	 1624
2R	17357344 	 17357823 	 479
2R 	 17385610 	 17385711 	 101
2R 	 17404628 	 17404745 	 117
2R	17497027 	 17499866 	 2839
2R	17518860 	 17518987 	 127
2R	17520931 	 17524869 	 3938
2R 	 17546971 	 17547093 	 122
2R 	 17564044 	 17564167 	 123
2R	17565860 	 17568329 	 2469
2R 	 17623197 	 17623322 	 125
2R 	 17650681 	 17650790 	 109
2R 	 17657262 	 17657384 	 122
2R	17682141 	 17686045 	 3904
2R	17692360 	 17692733 	 373
2R 	 17694197 	 17694312 	 115
2R 	 17694734 	 17694851 	 117
2R 	 17701377 	 17701482 	 105
2R 	 17765053 	 17765176 	 123
2R 	 17772090 	 17772202 	 112
2R	17778276 	 17793744 	 15468
2R 	 17809586 	 17809662 	 76
2R 	 17810930 	 17810980 	 50
2R	17828655 	 17830003 	 1348
2R 	 17888806 	 17888913 	 107
2R	17902399 	 17910578 	 8179
2R	17927970 	 17940037 	 12067
2R 	 17950636 	 17950734 	 98
2R	17965920 	 17966061 	 141
2R	17996083 	 17997277 	 1194
2R	18036576 	 18040550 	 3974
2R 	 18048976 	 18049081 	 105
2R 	 18083375 	 18083417 	 42
2R	18086203 	 18086643 	 440
2R 	 18088044 	 18088143 	 99
2R	18094937 	 18105915 	 10978
2R	18129071 	 18136223 	 7152
2R 	 18147080 	 18147178 	 98
2R	18178248 	 18179021 	 773
2R	18180978 	 18181747 	 769
2R	18190201 	 18190273 	 72
2R	18211566 	 18211618 	 52
2R 	 18222925 	 18223037 	 112
2R	18253266 	 18261978 	 8712
2R	18296754 	 18298108 	 1354
2R 	 18305746 	 18305869 	 123
2R	18334788 	 18339146 	 4358
2R	18342182 	 18343371 	 1189
2R 	 18349996 	 18350071 	 75
2R 	 18363004 	 18363097 	 93
2R 	 18367419 	 18367504 	 85
2R	18373385 	 18416374 	 42989
2R	18435358 	 18436884 	 1526
2R 	 18461732 	 18461789 	 57
2R	18525464 	 18526171 	 707
2R	18560009 	 18561766 	 1757
2R	18570227 	 18575562 	 5335
2R 	 18583830 	 18583936 	 106
2R 	 18586943 	 18587048 	 105
2R	18609404 	 18631163 	 21759
2R	18660960 	 18661256 	 296
2R	18661824 	 18662264 	 440
2R 	 18682238 	 18682335 	 97
2R 	 18699806 	 18699904 	 98
2R 	 18763806 	 18763927 	 121
2R	18766495 	 18767412 	 917
2R	18778160 	 18791098 	 12938
2R 	 18802065 	 18802169 	 104
2R	18811266 	 18815422 	 4156
2R 	 18821541 	 18821638 	 97
2R 	 18858517 	 18858613 	 96
2R	18876529 	 18876642 	 113
2R	18902172 	 18905823 	 3651
2R	18910576 	 18920103 	 9527
2R	18939000 	 18943535 	 4535
2R 	 18952228 	 18952351 	 123
2R	18999450 	 19005500 	 6050
2R	19026097 	 19026198 	 101
2R	19031869 	 19037061 	 5192
2R 	 19073600 	 19073713 	 113
2R 	 19107263 	 19107385 	 122
2R	19134706 	 19135009 	 303
2R 	 19146097 	 19146199 	 102
2R 	 19154623 	 19154728 	 105
2R	19162181 	 19164046 	 1865
2R 	 19166783 	 19166883 	 100
2R	19178259 	 19191246 	 12987
2R 	 19197240 	 19197362 	 122
2R	19206709 	 19208412 	 1703
2R 	 19236918 	 19237022 	 104
2R 	 19284796 	 19284888 	 92
2R	19288405 	 19291985 	 3580
2R	19306473 	 19306672 	 199
2R	19325769 	 19333436 	 7667
2R	19344540 	 19344805 	 265
2R	19347258 	 19348137 	 879
2R	19378149 	 19381452 	 3303
2R	19387634 	 19389013 	 1379
2R	19394606 	 19401166 	 6560
2R 	 19404146 	 19404256 	 110
2R	19436051 	 19436160 	 109
2R 	 19445637 	 19445716 	 79
2R 	 19451468 	 19451515 	 47
2R 	 19451974 	 19452096 	 122
2R 	 19452825 	 19452932 	 107
2R 	 19499679 	 19499759 	 80
2R 	 19499808 	 19499855 	 47
2R 	 19524303 	 19524360 	 57
2R	19524360 	 19524410 	 50
2R	19559478 	 19560122 	 644
2R	19577877 	 19578013 	 136
2R 	 19619517 	 19619638 	 121
2R 	 19621085 	 19621193 	 108
2R 	 19658685 	 19658788 	 103
2R 	 19695211 	 19695333 	 122
2R 	 19700767 	 19700895 	 128
2R	19701603 	 19706619 	 5016
2R 	 19722088 	 19722169 	 81
2R	19726376 	 19728699 	 2323
2R 	 19768918 	 19768971 	 53
2R 	 19777811 	 19777862 	 51
2R	19826121 	 19828497 	 2376
2R 	 19869625 	 19869739 	 114
2R 	 19872815 	 19872917 	 102
2R	19879630 	 19882448 	 2818
2R 	 19904174 	 19904291 	 117
2R 	 19918508 	 19918611 	 103
2R	19951496 	 19952003 	 507
2R	19974011 	 19974116 	 105
2R	19989568 	 20005288 	 15720
2R	20014802 	 20019782 	 4980
2R	20026264 	 20033876 	 7612
2R	20040700 	 20040887 	 187
2R 	 20069526 	 20069601 	 75
2R	20090227 	 20090285 	 58
2R	20105196 	 20106086 	 890
2R	20115574 	 20115624 	 50
2R	20151358 	 20153601 	 2243
2R	20158110 	 20158252 	 142
2R	20158737 	 20158833 	 96
2R	20185667 	 20201506 	 15839
2R	20225104 	 20226249 	 1145
2R	20228821 	 20229026 	 205
2R	20231714 	 20232877 	 1163
2R	20234111 	 20238063 	 3952
2R	20249643 	 20255905 	 6262
2R	20281759 	 20283460 	 1701
2R	20308223 	 20309561 	 1338
2R	20329315 	 20333455 	 4140
2R 	 20341606 	 20341711 	 105
2R	20345007 	 20345073 	 66
2R	20363043 	 20363094 	 51
2R 	 20372840 	 20372899 	 59
2R 	 20398433 	 20398549 	 116
2R	20426944 	 20442851 	 15907
2R 	 20450668 	 20450780 	 112
2R	20461402 	 20463358 	 1956
2R	20472739 	 20483568 	 10829
2R	20485744 	 20485924 	 180
2R	20540228 	 20541540 	 1312
2R 	 20544784 	 20544875 	 91
2R 	 20545084 	 20545194 	 110
2R 	 20564211 	 20564246 	 35
2R	20653822 	 20657534 	 3712
2R	20659260 	 20661876 	 2616
2R	20663316 	 20663374 	 58
2R 	 20714002 	 20714098 	 96
2R 	 20726978 	 20727099 	 121
2R	20728377 	 20731071 	 2694
2R 	 20743044 	 20743081 	 37
2R	20749354 	 20752305 	 2951
2R	20761882 	 20773232 	 11350
2R	20797873 	 20808781 	 10908
2R 	 20838532 	 20838641 	 109
2R 	 20847820 	 20847937 	 117
2R 	 20850162 	 20850285 	 123
2R 	 20860495 	 20860602 	 107
2R 	 20881774 	 20881872 	 98
2R 	 20885490 	 20885606 	 116
2R 	 20923572 	 20923684 	 112
2R 	 20933096 	 20933220 	 124
2R	20951466 	 20953604 	 2138
2R	20973525 	 20975327 	 1802
2R	20977690 	 20979349 	 1659
2R	20996411 	 20996578 	 167
2R	21002432 	 21013342 	 10910
2R 	 21023870 	 21023969 	 99
2R 	 21046669 	 21046771 	 102
2R	21078166 	 21078322 	 156
2R 	 21123415 	 21123535 	 120
2R	21127494 	 21135329 	 7835
2R 	 21145944 	 21146065 	 121
2R 	 21151167 	 21151219 	 52
2R	21170150 	 21172387 	 2237
2R	21223030 	 21223124 	 94
2R 	 21251779 	 21251902 	 123
2R 	 21266279 	 21266400 	 121
2R	21269007 	 21271486 	 2479
2R	21275983 	 21276034 	 51
2R 	 21297240 	 21297359 	 119
2R	21302143 	 21302897 	 754
2R	21308887 	 21312159 	 3272
2R 	 21321246 	 21321355 	 109
2R	21323809 	 21327730 	 3921
2R 	 21328577 	 21328692 	 115
2R 	 21340851 	 21340962 	 111
2R 	 21365574 	 21365683 	 109
2R	21379054 	 21391650 	 12596
2R	21395623 	 21398187 	 2564
2R	21414009 	 21414499 	 490
2R 	 21426561 	 21426673 	 112
2R 	 21469055 	 21469161 	 106
2R	21487038 	 21487716 	 678
2R 	 21541476 	 21541579 	 103
2R	21550170 	 21550752 	 582
2R	21571788 	 21572467 	 679
2R	21628111 	 21629369 	 1258
2R	21638689 	 21638740 	 51
2R	21683696 	 21690497 	 6801
2R	21694101 	 21696986 	 2885
2R	21707310 	 21707544 	 234
2R 	 21716398 	 21716515 	 117
2R 	 21732909 	 21733028 	 119
2R 	 21736226 	 21736295 	 69
2R	21762276 	 21764188 	 1912
2R	21771924 	 21777961 	 6037
2R	21779195 	 21781545 	 2350
2R	21787825 	 21790855 	 3030
2R 	 21811313 	 21811351 	 38
2R 	 21812311 	 21812383 	 72
2R 	 21815501 	 21815576 	 75
2R	21839394 	 21840572 	 1178
2R	21843064 	 21863163 	 20099
2R	21864599 	 21869374 	 4775
2R	22003134 	 22003298 	 164
2R	22011713 	 22012265 	 552
2R 	 22042012 	 22042136 	 124
2R	22050488 	 22050643 	 155
2R 	 22073250 	 22073359 	 109
2R	22084924 	 22086596 	 1672
2R	22107826 	 22110552 	 2726
2R	22134517 	 22135166 	 649
2R 	 22138641 	 22138750 	 109
2R 	 22145501 	 22145598 	 97
2R	22169510 	 22169708 	 198
2R 	 22261171 	 22261270 	 99
2R	22311245 	 22318563 	 7318
2R	22331999 	 22339274 	 7275
2R 	 22372795 	 22372915 	 120
2R	22373980 	 22376147 	 2167
2R	22420434 	 22429864 	 9430
2R 	 22431589 	 22431710 	 121
2R 	 22439228 	 22439349 	 121
2R 	 22454235 	 22454357 	 122
2R	22455492 	 22460116 	 4624
2R	22527853 	 22527857 	 4
2R 	 22537556 	 22537677 	 121
2R	22538604 	 22548372 	 9768
2R	22561256 	 22563595 	 2339
2R	22572901 	 22573420 	 519
2R 	 22634511 	 22634633 	 122
2R 	 22675935 	 22676040 	 105
2R	22695805 	 22695877 	 72
2R	22713934 	 22715093 	 1159
2R	22738934 	 22739462 	 528
2R	22764173 	 22767937 	 3764
2R	22800760 	 22801706 	 946
